lender,institution_type,branch_name,address,city,zip,latitude,longitude
Del-One Federal Credit Union,Credit Union,Dagsboro,30650 Dupont Blvd,Dagsboro,19939,38.5623857164955,-75.27586334232946
Del-One Federal Credit Union,Credit Union,Dover Water St,150 E Water Street,Dover,19901,39.15627131158092,-75.51896810547268
Del-One Federal Credit Union,Credit Union,Dover Beiser,270 Beiser Blvd,Dover,19904,39.15222379479753,-75.54642856136557
Del-One Federal Credit Union,Credit Union,Bear,100 Fox Hunt Drive,Bear,19701,39.606541640787206,-75.714004934
Del-One Federal Credit Union,Credit Union,Georgetown,30 Georgetown Plaza,Georgetown,19947,38.68068780291867,-75.39694100635036
Del-One Federal Credit Union,Credit Union,Lewes,24157 Zinfandel Lane,Lewes,19958,38.74387545960393,-75.18820649999999
Del-One Federal Credit Union,Credit Union,Middletown,751 Middletown Warwick Rd,Middletown,19709,39.44326432039777,-75.74204772883527
Del-One Federal Credit Union,Credit Union,Milford,100 Credit Union Way,Milford,19963,38.92163448481887,-75.43977579446569
Del-One Federal Credit Union,Credit Union,New Castle,80 Christiana Road,New Castle,19720,39.66580905945433,-75.61160659999999
Del-One Federal Credit Union,Credit Union,Seaford,24488 Sussex Hwy,Seaford,19973,38.64621276063759,-75.59476733223354
Del-One Federal Credit Union,Credit Union,Smyrna,201 Pharmacy Drive,Smyrna,19977,39.27850207444066,-75.59138506667048
Del-One Federal Credit Union,Credit Union,Wilmington,1 Germay Drive,Wilmington,19804,39.73247197739941,-75.57863652722348
Community Bank Delaware,Community Bank,Lewes,16982 Kings Highway,Lewes,19958,38.74398804899212,-75.15098243967999
Community Bank Delaware,Community Bank,Millsboro,24882 John J Williams Hwy,Millsboro,19966,38.63562460209349,-75.19459515825977
Community Bank Delaware,Community Bank,Rehoboth Beach,30099 Veterans Way,Rehoboth Beach,19971,38.713803744606686,-75.10587108465602
Community Bank Delaware,Community Bank,Seaford,1023 W Stein Hwy,Seaford,19973,38.64548584369197,-75.63274741174091
True Access Capital,CDFI,Wilmington Main,800 N French Street 3rd Floor,Wilmington,19801,39.74729406651129,-75.54833748039741


